[2023-06-05 02:43:13,935071] front.INFO  [29c3b5ef] [a3723a52] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [GET, /phpinfo.php, 185.223.152.160, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 02:43:14,559743] front.INFO  [NULL] [5da9f777] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /phpinfo, 185.223.152.147, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 02:43:14,560956] front.INFO  [NULL] [5da9f777] [NULL] [LogListener:onKernelException:105] - No route found for "GET /phpinfo" [404]  [GET, /phpinfo, 185.223.152.147, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 02:43:14,562215] front.INFO  [e2c0cce1] [5da9f777] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [GET, /phpinfo, 185.223.152.147, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 02:43:14,562522] front.INFO  [e2c0cce1] [5da9f777] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [GET, /phpinfo, 185.223.152.147, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 03:45:38,547572] front.INFO  [NULL] [08844b7a] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 157.55.39.210, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-05 03:45:38,548257] front.INFO  [NULL] [08844b7a] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 157.55.39.210, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-05 03:45:38,557418] front.INFO  [f622c3d1] [08844b7a] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 157.55.39.210, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-05 03:45:38,579017] front.INFO  [f622c3d1] [08844b7a] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 157.55.39.210, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-05 03:45:38,579666] front.INFO  [f622c3d1] [08844b7a] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 157.55.39.210, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-05 03:51:41,406118] front.INFO  [NULL] [ebcfe238] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /contact, 193.56.113.49, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-05 03:51:41,406734] front.INFO  [NULL] [ebcfe238] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["contact"]  [GET, /contact, 193.56.113.49, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-05 03:51:41,416341] front.INFO  [abcf251b] [ebcfe238] [NULL] [LogListener:onKernelController:73] - LOGIC START ["contact"]  [GET, /contact, 193.56.113.49, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-05 03:51:41,435163] front.INFO  [abcf251b] [ebcfe238] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["contact"]  [GET, /contact, 193.56.113.49, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-05 03:51:41,435777] front.INFO  [abcf251b] [ebcfe238] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["contact"]  [GET, /contact, 193.56.113.49, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-05 03:51:42,231121] front.INFO  [NULL] [00208eba] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /contact, 193.56.113.49, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-05 03:51:42,231631] front.INFO  [abcf251b] [00208eba] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["contact"]  [POST, /contact, 193.56.113.49, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-05 03:51:42,240237] front.INFO  [abcf251b] [00208eba] [NULL] [LogListener:onKernelController:73] - LOGIC START ["contact"]  [POST, /contact, 193.56.113.49, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-05 03:51:42,259131] front.INFO  [abcf251b] [00208eba] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["contact"]  [POST, /contact, 193.56.113.49, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-05 03:51:42,259871] front.INFO  [abcf251b] [00208eba] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["contact"]  [POST, /contact, 193.56.113.49, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
