[2023-06-12 07:09:32,607163] front.INFO  [NULL] [2b04f083] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 20.218.125.22, NULL, Go-http-client/1.1]
[2023-06-12 07:09:32,607678] front.INFO  [NULL] [2b04f083] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 20.218.125.22, NULL, Go-http-client/1.1]
[2023-06-12 07:09:32,616665] front.INFO  [b348df93] [2b04f083] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 20.218.125.22, NULL, Go-http-client/1.1]
[2023-06-12 07:09:32,637051] front.INFO  [b348df93] [2b04f083] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 20.218.125.22, NULL, Go-http-client/1.1]
[2023-06-12 07:09:32,637587] front.INFO  [b348df93] [2b04f083] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 20.218.125.22, NULL, Go-http-client/1.1]
[2023-06-12 07:13:43,679335] front.INFO  [NULL] [cd08304b] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /admin/assets/uploadify/uploadify.css, 194.38.21.45, NULL, ALittle Client]
[2023-06-12 07:13:43,680792] front.INFO  [NULL] [cd08304b] [NULL] [LogListener:onKernelException:105] - No route found for "GET /admin/assets/uploadify/uploadify.css" [404]  [GET, /admin/assets/uploadify/uploadify.css, 194.38.21.45, NULL, ALittle Client]
[2023-06-12 07:13:43,682566] front.INFO  [df5ba71d] [cd08304b] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [GET, /admin/assets/uploadify/uploadify.css, 194.38.21.45, NULL, ALittle Client]
[2023-06-12 07:13:43,682875] front.INFO  [df5ba71d] [cd08304b] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [GET, /admin/assets/uploadify/uploadify.css, 194.38.21.45, NULL, ALittle Client]
[2023-06-12 07:43:41,031159] front.INFO  [NULL] [afd821a5] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 51.222.253.5, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-06-12 07:43:41,031755] front.INFO  [NULL] [afd821a5] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 51.222.253.5, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-06-12 07:43:41,041930] front.INFO  [65d45467] [afd821a5] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 51.222.253.5, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-06-12 07:43:41,064350] front.INFO  [65d45467] [afd821a5] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 51.222.253.5, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
